lakeid,year4,sampledate,sta,depth_range,division,taxa_name,gald,cells_per_nu,nu_per_ml,cells_per_ml,biovolume_conc,biomass_conc,relative_total_biovolume,genus
"SP",1992,1992-06-30 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",24.0,1.0,48.7,48.7,44048,0.044,7.81,"Cryptomonas"
"SP",1992,1992-06-30 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",7.0,1.0,279.9,279.9,9381,0.009,1.66,"Rhodomonas"
"SP",1992,1992-06-30 00:00:00,1,0,"Cyanophyta","Aphanothece nidulans",17.3,16.0,1071.0,17136.8,17946,0.018,3.18,"Aphanothece"
"SP",1992,1992-06-30 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,1119.7,1119.7,1979,0.002,0.35,"Synechocystis"
"SP",1992,1992-06-30 00:00:00,1,0,"Pyrrhophyta","Ceratium hirundinella",300.0,1.0,3.1,3.1,187258,0.187,33.19,"Ceratium"
"SP",1992,1992-06-30 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 3",8.0,1.0,36.5,36.5,2753,0.003,0.49,"Gymnodinium"
"SP",1992,1992-05-19 00:00:00,1,0,"Bacillariophyta","Amphipleura pellucida",120.0,1.0,13.0,13.0,88097,0.088,20.87,"Amphipleura"
"SP",1992,1992-05-19 00:00:00,1,0,"Bacillariophyta","Asterionella formosa",100.0,1.0,26.0,26.0,23368,0.023,5.54,"Asterionella"
"SP",1992,1992-05-19 00:00:00,1,0,"Bacillariophyta","Tabellaria flocculosa",56.0,1.0,3.1,3.1,11236,0.011,2.66,"Tabellaria"
"SP",1992,1992-05-19 00:00:00,1,0,"Chlorophyta","Chlorococcaceae",5.0,1.0,13.0,13.0,850,0.001,0.20,
"SP",1992,1992-05-19 00:00:00,1,0,"Chlorophyta","Lobomonas",8.0,1.0,13.0,13.0,1697,0.002,0.40,"Lobomonas"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Dinobryon",6.4,1.0,662.1,662.1,61570,0.062,14.59,"Dinobryon"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",60.0,1.0,246.7,246.7,32289,0.032,7.65,"Dinobryon"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",12.0,1.0,13.0,13.0,11358,0.011,2.69,"Dinobryon"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Dinobryon divergens",50.0,1.0,38.9,38.9,5098,0.005,1.21,"Dinobryon"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Dinobryon divergens",70.0,2.0,13.0,26.0,2719,0.003,0.64,"Dinobryon"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Dinobryon sociale",12.0,1.0,26.0,26.0,22716,0.023,5.38,"Dinobryon"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Erkenia subaequiciliata",4.0,1.0,1194.4,1194.4,36122,0.036,8.56,"Erkenia"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Kephyrion planctonicum",8.0,1.0,64.9,64.9,1224,0.001,0.29,"Kephyrion"
"SP",1992,1992-05-19 00:00:00,1,0,"Chrysophyta","Mallomonas",12.0,1.0,38.9,38.9,15662,0.016,3.71,"Mallomonas"
"SP",1992,1992-05-19 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",16.0,1.0,129.8,129.8,48476,0.049,11.48,"Cryptomonas"
"SP",1992,1992-05-19 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",8.0,1.0,13.0,13.0,435,0.000,0.10,"Rhodomonas"
"SP",1992,1992-05-19 00:00:00,1,0,"Cyanophyta","Aphanocapsa delicatissima",20.0,16.0,26.0,415.4,218,0.000,0.05,"Aphanocapsa"
"SP",1992,1992-05-19 00:00:00,1,0,"Cyanophyta","Aphanothece nidulans",10.0,10.0,90.9,908.8,952,0.001,0.23,"Aphanothece"
"SP",1992,1992-05-19 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,571.2,571.2,1009,0.001,0.24,"Synechocystis"
"SP",1992,1992-05-19 00:00:00,1,0,"Euglenophyta","Euglena",20.0,1.0,13.0,13.0,8483,0.009,2.01,"Euglena"
"SP",1992,1992-05-19 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 1",48.0,1.0,9.4,9.4,47274,0.047,11.20,"Gymnodinium"
"SP",1992,1992-05-19 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 3",8.0,1.0,13.0,13.0,1256,0.001,0.30,"Gymnodinium"
"SP",1991,1991-05-22 00:00:00,1,0,"Bacillariophyta","Aulacoseira ambigua",30.0,1.0,17.0,17.0,14453,0.015,4.92,"Aulacoseira"
"SP",1991,1991-05-22 00:00:00,1,0,"Bacillariophyta","Cyclotella comensis",8.0,1.0,17.0,17.0,3426,0.003,1.17,"Cyclotella"
"SP",1991,1991-05-22 00:00:00,1,0,"Bacillariophyta","Cyclotella pseudostelligera",5.8,1.0,766.8,766.8,59560,0.060,20.26,"Cyclotella"
"SP",1991,1991-05-22 00:00:00,1,0,"Bacillariophyta","Stephanodiscus medius",20.0,1.0,8.2,8.2,25853,0.026,8.79,"Stephanodiscus"
"SP",1991,1991-05-22 00:00:00,1,0,"Bacillariophyta","Tabellaria flocculosa",80.0,1.0,2.7,2.7,7900,0.008,2.69,"Tabellaria"
"SP",1991,1991-05-22 00:00:00,1,0,"Chlorophyta","Chlamydomonas",6.0,1.0,17.0,17.0,1801,0.002,0.61,"Chlamydomonas"
"SP",1991,1991-05-22 00:00:00,1,0,"Chlorophyta","Lobomonas",6.0,1.0,17.0,17.0,931,0.001,0.32,"Lobomonas"
"SP",1991,1991-05-22 00:00:00,1,0,"Chlorophyta","Monomastix astigmata",5.0,1.0,34.1,34.1,714,0.001,0.24,"Monomastix"
"SP",1991,1991-05-22 00:00:00,1,0,"Chlorophyta","Oocystis parva",10.0,1.0,17.0,17.0,3212,0.003,1.09,"Oocystis"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,136.3,136.3,1927,0.002,0.66,"Chromulina"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,749.7,749.7,58884,0.059,20.03,"Dinobryon"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",60.0,1.0,17.0,17.0,1784,0.002,0.61,"Dinobryon"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",88.0,2.0,2.7,5.5,575,0.001,0.20,"Dinobryon"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Dinobryon cylindricum",50.0,1.0,34.1,34.1,4461,0.005,1.52,"Dinobryon"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Dinobryon divergens",174.0,3.5,13.7,48.0,5027,0.005,1.71,"Dinobryon"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Erkenia subaequiciliata",4.0,1.0,17.0,17.0,515,0.001,0.18,"Erkenia"
"SP",1991,1991-05-22 00:00:00,1,0,"Chrysophyta","Mallomonas",16.0,1.0,51.1,51.1,27408,0.027,9.32,"Mallomonas"
"SP",1991,1991-05-22 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",24.0,1.0,51.1,51.1,46251,0.046,15.73,"Cryptomonas"
"SP",1991,1991-05-22 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",8.0,1.0,238.6,238.6,7994,0.008,2.72,"Rhodomonas"
"SP",1991,1991-05-22 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,4600.6,4600.6,8130,0.008,2.77,"Synechocystis"
"SP",1991,1991-05-22 00:00:00,1,0,"Miscellaneous",,5.0,1.0,102.2,102.2,2409,0.002,0.82,
"SP",1991,1991-05-22 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 2",10.0,1.0,17.0,17.0,2855,0.003,0.97,"Gymnodinium"
"SP",1991,1991-05-22 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 3",8.0,1.0,34.1,34.1,2569,0.003,0.87,"Gymnodinium"
"SP",1991,1991-05-22 00:00:00,1,0,"Pyrrhophyta","Peridinium",12.0,1.0,17.0,17.0,5353,0.005,1.82,"Peridinium"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Cyclotella comensis",6.1,1.0,556.6,556.6,51695,0.052,8.23,"Cyclotella"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Cyclotella distinguenda",14.6,1.0,159.0,159.0,215194,0.215,34.26,"Cyclotella"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Cyclotella pseudostelligera",6.0,1.0,11.4,11.4,964,0.001,0.15,"Cyclotella"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Cyclotella sp. 1",5.0,1.0,90.9,90.9,4461,0.005,0.71,"Cyclotella"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Fragilaria crotonensis",100.0,3.0,2.2,6.6,8273,0.008,1.32,"Fragilaria"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Stephanodiscus medius",20.0,1.0,11.4,11.4,35687,0.036,5.68,"Stephanodiscus"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Synedra filiformis",70.0,1.0,45.4,45.4,28626,0.029,4.56,"Synedra"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Synedra nana",80.0,1.0,79.5,79.5,25446,0.025,4.05,"Synedra"
"SP",1989,1989-06-26 00:00:00,1,0,"Bacillariophyta","Tabellaria flocculosa",52.0,1.0,11.4,11.4,21265,0.021,3.39,"Tabellaria"
"SP",1989,1989-06-26 00:00:00,1,0,"Chlorophyta","Monomastix astigmata",4.0,1.0,11.4,11.4,107,0.000,0.02,"Monomastix"
"SP",1989,1989-06-26 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,1090.5,1090.5,15417,0.015,2.45,"Chromulina"
"CR",1989,1989-06-17 00:00:00,1,0,"Chlorophyta","Monomastix astigmata",4.5,1.0,26.0,26.0,275,0.000,0.03,"Monomastix"
"CR",1989,1989-06-17 00:00:00,1,0,"Chlorophyta","Monomastix minuta",5.0,1.0,26.0,26.0,306,0.000,0.04,"Monomastix"
"CR",1989,1989-06-17 00:00:00,1,0,"Chlorophyta","Schroederia judayi",20.0,1.0,454.4,454.4,8565,0.009,1.06,"Schroederia"
"CR",1989,1989-06-17 00:00:00,1,0,"Chlorophyta","Sphaerocystis schroeteri",12.0,4.0,13.0,51.9,1740,0.002,0.21,"Sphaerocystis"
"CR",1989,1989-06-17 00:00:00,1,0,"Chlorophyta","Staurastrum paradoxum",36.0,1.0,77.9,77.9,83956,0.084,10.36,"Staurastrum"
"CR",1989,1989-06-17 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,2142.1,2142.1,30283,0.030,3.74,"Chromulina"
"CR",1989,1989-06-17 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,727.0,727.0,57100,0.057,7.05,"Dinobryon"
"CR",1989,1989-06-17 00:00:00,1,0,"Chrysophyta","Dinobryon cyst",12.0,1.0,26.0,26.0,22716,0.023,2.80,"Dinobryon"
"CR",1989,1989-06-17 00:00:00,1,0,"Chrysophyta","Mallomonas",16.0,1.0,90.9,90.9,41619,0.042,5.14,"Mallomonas"
"CR",1989,1989-06-17 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",14.0,1.0,26.0,26.0,8048,0.008,0.99,"Cryptomonas"
"CR",1989,1989-06-17 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",8.0,1.0,51.9,51.9,1740,0.002,0.21,"Rhodomonas"
"CR",1989,1989-06-17 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,584.2,584.2,1032,0.001,0.13,"Synechocystis"
"CR",1989,1989-06-17 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 3",8.0,1.0,13.0,13.0,1256,0.001,0.16,"Gymnodinium"
"CR",1989,1989-06-17 00:00:00,1,0,"Pyrrhophyta","Peridinium cinctum",40.0,1.0,26.0,26.0,409160,0.409,50.49,"Peridinium"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Arthrodesmus incus",30.0,1.0,26.0,26.0,5873,0.006,2.55,"Arthrodesmus"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Cosmarium",20.0,1.0,13.0,13.0,19577,0.020,8.51,"Cosmarium"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Elakatothrix gelatinosa",20.0,2.2,753.0,1656.6,40057,0.040,17.41,"Elakatothrix"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Oocystis parva",12.0,3.0,13.0,38.9,1101,0.001,0.48,"Oocystis"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Quadrigula lacustris",17.3,1.3,13.0,17.3,171,0.000,0.07,"Quadrigula"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Schroederia judayi",21.3,1.0,90.9,90.9,1142,0.001,0.50,"Schroederia"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Sphaerocystis schroeteri",15.0,11.0,194.7,2142.1,25644,0.026,11.15,"Sphaerocystis"
"CR",1988,1988-08-21 00:00:00,1,0,"Chlorophyta","Tetrastrum staurogeniaeforme",20.0,4.0,13.0,51.9,1488,0.002,0.65,"Tetrastrum"
"CR",1988,1988-08-21 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,1687.7,1687.7,23860,0.024,10.37,"Chromulina"
"CR",1988,1988-08-21 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,545.3,545.3,57625,0.058,25.04,"Dinobryon"
"CR",1988,1988-08-21 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",60.0,1.0,51.9,51.9,5438,0.005,2.36,"Dinobryon"
"CR",1988,1988-08-21 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",15.3,1.0,64.9,64.9,33535,0.034,14.57,"Cryptomonas"
"CR",1988,1988-08-21 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",8.0,1.0,77.9,77.9,2610,0.003,1.13,"Rhodomonas"
"CR",1988,1988-08-21 00:00:00,1,0,"Cyanophyta","Aphanothece nidulans",22.0,27.0,26.0,701.1,734,0.001,0.32,"Aphanothece"
"CR",1988,1988-08-21 00:00:00,1,0,"Cyanophyta","Merismopedia warmingiana",10.0,8.0,13.0,103.9,14,0.000,0.01,"Merismopedia"
"CR",1988,1988-08-21 00:00:00,1,0,"Cyanophyta","Rhabdoderma lineare",20.0,36.0,13.0,467.4,489,0.001,0.21,"Rhabdoderma"
"CR",1988,1988-08-21 00:00:00,1,0,"Cyanophyta","Synechococcus elongatus",3.0,1.0,1817.5,1817.5,2855,0.003,1.24,"Synechococcus"
"CR",1988,1988-08-21 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,1687.7,1687.7,2982,0.003,1.30,"Synechocystis"
"CR",1988,1988-08-21 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 3",8.0,1.0,38.9,38.9,2937,0.003,1.28,"Gymnodinium"
"CR",1988,1988-08-21 00:00:00,1,0,"Rhodophyta","Bitrichia phaseolus",40.0,1.0,13.0,13.0,1958,0.002,0.85,"Bitrichia"
"CR",1988,1988-06-08 00:00:00,1,0,"Bacillariophyta","Asterionella formosa",35.0,1.0,27.3,27.3,5862,0.006,2.27,"Asterionella"
"CR",1988,1988-06-08 00:00:00,1,0,"Bacillariophyta","Cyclotella ocellata",8.0,1.0,9.1,9.1,1827,0.002,0.71,"Cyclotella"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Arthrodesmus incus",30.0,1.0,9.1,9.1,2056,0.002,0.79,"Arthrodesmus"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Arthrodesmus octocornis",42.0,1.5,18.2,27.3,11268,0.011,4.36,"Arthrodesmus"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Arthrodesmus subulatus",50.0,1.7,27.3,45.4,14465,0.015,5.59,"Arthrodesmus"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Monoraphidium capricornutum",4.0,1.0,9.1,9.1,71,0.000,0.03,"Monoraphidium"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Schroederia judayi",14.0,1.0,63.6,63.6,839,0.001,0.32,"Schroederia"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Sphaerocystis schroeteri",9.0,7.0,18.2,127.2,1799,0.002,0.70,"Sphaerocystis"
"CR",1988,1988-06-08 00:00:00,1,0,"Chlorophyta","Staurastrum paradoxum",44.0,1.0,11.0,11.0,28117,0.028,10.87,"Staurastrum"
"CR",1988,1988-06-08 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,863.3,863.3,12205,0.012,4.72,"Chromulina"
"CR",1988,1988-06-08 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,945.1,945.1,74230,0.074,28.69,"Dinobryon"
"CR",1988,1988-06-08 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",68.0,1.0,336.2,336.2,41080,0.041,15.88,"Dinobryon"
"CR",1988,1988-06-08 00:00:00,1,0,"Chrysophyta","Erkenia subaequiciliata",4.0,1.0,9.1,9.1,275,0.000,0.11,"Erkenia"
"CR",1988,1988-06-08 00:00:00,1,0,"Chrysophyta","Kephyrion planctonicum",8.0,1.0,45.4,45.4,856,0.001,0.33,"Kephyrion"
"CR",1988,1988-06-08 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",15.2,1.0,154.5,154.5,57336,0.057,22.16,"Cryptomonas"
"CR",1988,1988-06-08 00:00:00,1,0,"Cryptophyta","Cryptomonas lucens",9.0,1.0,18.2,18.2,1542,0.002,0.60,"Cryptomonas"
"CR",1988,1988-06-08 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",8.0,1.0,18.2,18.2,609,0.001,0.24,"Rhodomonas"
"CR",1988,1988-06-08 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",10.0,1.0,9.1,9.1,856,0.001,0.33,"Rhodomonas"
"CR",1988,1988-06-08 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,727.0,727.0,1285,0.001,0.50,"Synechocystis"
"CR",1988,1988-06-08 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 3",8.0,1.0,9.1,9.1,685,0.001,0.26,"Gymnodinium"
"CR",1988,1988-06-08 00:00:00,1,0,"Rhodophyta","Bitrichia phaseolus",30.0,1.0,9.1,9.1,1427,0.001,0.55,"Bitrichia"
"CR",1988,1988-05-12 00:00:00,1,0,"Bacillariophyta","Asterionella formosa",44.0,1.0,68.2,68.2,16994,0.017,2.00,"Asterionella"
"CR",1988,1988-05-12 00:00:00,1,0,"Bacillariophyta","Cyclotella sp. 1",6.0,1.0,13.6,13.6,1156,0.001,0.14,"Cyclotella"
"CR",1988,1988-05-12 00:00:00,1,0,"Bacillariophyta","Stephanodiscus parvus",8.0,1.0,40.9,40.9,8222,0.008,0.97,"Stephanodiscus"
"CR",1988,1988-05-12 00:00:00,1,0,"Chlorophyta","Arthrodesmus subulatus",50.0,1.0,40.9,40.9,21926,0.022,2.58,"Arthrodesmus"
"CR",1988,1988-05-12 00:00:00,1,0,"Chlorophyta","Monomastix astigmata",4.0,1.0,13.6,13.6,128,0.000,0.02,"Monomastix"
"CR",1988,1988-05-12 00:00:00,1,0,"Chlorophyta","Schroederia judayi",17.3,1.0,545.3,545.3,6509,0.007,0.76,"Schroederia"
"CR",1988,1988-05-12 00:00:00,1,0,"Chlorophyta","Staurastrum paradoxum",48.0,1.0,4.4,4.4,13453,0.014,1.58,"Staurastrum"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta",,6.0,1.0,54.5,54.5,5763,0.006,0.68,
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,1295.0,1295.0,18308,0.018,2.15,"Chromulina"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,681.6,681.6,53531,0.054,6.29,"Dinobryon"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",60.0,1.0,13.6,13.6,1071,0.001,0.13,"Dinobryon"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Dinobryon cyst",12.0,1.0,13.6,13.6,11926,0.012,1.40,"Dinobryon"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Dinobryon divergens",36.0,1.0,13.6,13.6,1427,0.001,0.17,"Dinobryon"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Dinobryon sertularia",28.0,1.0,13.6,13.6,2141,0.002,0.25,"Dinobryon"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Dinobryon sertularia",60.0,2.0,13.6,27.3,2141,0.002,0.25,"Dinobryon"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Kephyrion planctonicum",8.0,1.0,13.6,13.6,257,0.000,0.03,"Kephyrion"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Mallomonas",14.0,1.0,13.6,13.6,3597,0.004,0.42,"Mallomonas"
"CR",1988,1988-05-12 00:00:00,1,0,"Chrysophyta","Uroglena",6.0,1.0,7429.2,7429.2,583487,0.584,68.57,"Uroglena"
"CR",1988,1988-05-12 00:00:00,1,0,"Cryptophyta","Chroomonas",8.0,1.0,13.6,13.6,400,0.000,0.05,"Chroomonas"
"CR",1988,1988-05-12 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",17.3,1.0,27.3,27.3,12486,0.013,1.47,"Cryptomonas"
"CR",1988,1988-05-12 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",6.0,1.0,54.5,54.5,1599,0.002,0.19,"Rhodomonas"
"CR",1988,1988-05-12 00:00:00,1,0,"Cyanophyta","Aphanothece nidulans",20.0,20.0,13.6,272.6,285,0.000,0.03,"Aphanothece"
"CR",1988,1988-05-12 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,1022.4,1022.4,1807,0.002,0.21,"Synechocystis"
"CR",1988,1988-05-12 00:00:00,1,0,"Pyrrhophyta","Glenodinium quadridens",24.0,1.0,4.4,4.4,11031,0.011,1.30,"Glenodinium"
"CR",1988,1988-05-12 00:00:00,1,0,"Pyrrhophyta","Gymnodinium sp. 1",20.0,1.0,13.6,13.6,18272,0.018,2.15,"Gymnodinium"
"CR",1988,1988-05-12 00:00:00,1,0,"Pyrrhophyta","Peridinium cinctum",48.0,1.0,2.2,2.2,44122,0.044,5.19,"Peridinium"
"CR",1988,1988-05-12 00:00:00,1,0,"Rhodophyta","Bitrichia phaseolus",60.0,1.0,68.2,68.2,8922,0.009,1.05,"Bitrichia"
"CR",1987,1987-06-04 00:00:00,1,0,"Chlorophyta","Arthrodesmus octocornis",40.0,1.0,3.7,3.7,1103,0.001,0.45,"Arthrodesmus"
"CR",1987,1987-06-04 00:00:00,1,0,"Chlorophyta","Arthrodesmus subulatus",52.0,1.0,30.3,30.3,14211,0.014,5.77,"Arthrodesmus"
"CR",1987,1987-06-04 00:00:00,1,0,"Chlorophyta","Dictyosphaerium chlorelloides",16.0,3.0,15.1,45.4,1374,0.001,0.56,"Dictyosphaerium"
"CR",1987,1987-06-04 00:00:00,1,0,"Chlorophyta","Schroederia judayi",14.0,1.0,6406.8,6406.8,60383,0.060,24.53,"Schroederia"
"CR",1987,1987-06-04 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,2271.9,2271.9,32119,0.032,13.05,"Chromulina"
"CR",1987,1987-06-04 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,1393.4,1393.4,109441,0.109,44.45,"Dinobryon"
"CR",1987,1987-06-04 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",70.0,1.0,106.0,106.0,12491,0.013,5.07,"Dinobryon"
"CR",1987,1987-06-04 00:00:00,1,0,"Chrysophyta","Kephyrion planctonicum",8.0,1.0,15.1,15.1,285,0.000,0.12,"Kephyrion"
"CR",1987,1987-06-04 00:00:00,1,0,"Chrysophyta","Stichogloea olivacea",24.0,6.0,3.7,21.9,2449,0.002,0.99,"Stichogloea"
"CR",1987,1987-06-04 00:00:00,1,0,"Cryptophyta","Cryptomonas erosa",12.0,1.0,15.1,15.1,3045,0.003,1.24,"Cryptomonas"
"CR",1987,1987-06-04 00:00:00,1,0,"Cryptophyta","Rhodomonas minuta",8.0,1.0,181.8,181.8,6091,0.006,2.47,"Rhodomonas"
"CR",1987,1987-06-04 00:00:00,1,0,"Cyanophyta","Synechocystis",1.5,1.0,908.8,908.8,1606,0.002,0.65,"Synechocystis"
"CR",1987,1987-06-04 00:00:00,1,0,"Rhodophyta","Bitrichia phaseolus",40.0,1.0,15.1,15.1,1586,0.002,0.64,"Bitrichia"
"CR",1987,1987-05-05 00:00:00,1,0,"Bacillariophyta","Asterionella formosa",38.5,1.0,51.9,51.9,12541,0.013,5.32,"Asterionella"
"CR",1987,1987-05-05 00:00:00,1,0,"Bacillariophyta","Cyclotella sp. 1",6.0,1.0,13.0,13.0,1101,0.001,0.47,"Cyclotella"
"CR",1987,1987-05-05 00:00:00,1,0,"Bacillariophyta","Tabellaria flocculosa",20.0,1.0,6.3,6.3,32102,0.032,13.62,"Tabellaria"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Arthrodesmus octocornis",40.0,1.0,3.1,3.1,1681,0.002,0.71,"Arthrodesmus"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Arthrodesmus subulatus",60.0,1.0,26.0,26.0,24471,0.025,10.38,"Arthrodesmus"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Chlamydomonas",6.0,1.0,13.0,13.0,1372,0.001,0.58,"Chlamydomonas"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Dictyosphaerium chlorelloides",20.0,4.0,13.0,51.9,1571,0.002,0.67,"Dictyosphaerium"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Monomastix astigmata",4.0,1.0,13.0,13.0,54,0.000,0.02,"Monomastix"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Oocystis parva",28.0,4.0,13.0,51.9,27843,0.028,11.81,"Oocystis"
"CR",1987,1987-05-05 00:00:00,1,0,"Chlorophyta","Schroederia judayi",47.3,1.0,90.9,90.9,2227,0.002,0.94,"Schroederia"
"CR",1987,1987-05-05 00:00:00,1,0,"Chrysophyta","Chromulina",3.0,1.0,2336.8,2336.8,33036,0.033,14.01,"Chromulina"
"CR",1987,1987-05-05 00:00:00,1,0,"Chrysophyta","Dinobryon",6.0,1.0,649.1,649.1,50982,0.051,21.63,"Dinobryon"
"CR",1987,1987-05-05 00:00:00,1,0,"Chrysophyta","Dinobryon bavaricum",69.3,1.0,181.8,181.8,19033,0.019,8.07,"Dinobryon"
"CR",1987,1987-05-05 00:00:00,1,0,"Chrysophyta","Kephyrion gracilis",8.0,1.0,51.9,51.9,979,0.001,0.42,"Kephyrion"
"CR",1987,1987-05-05 00:00:00,1,0,"Chrysophyta","Kephyrion planctonicum",8.0,1.0,13.0,13.0,245,0.000,0.10,"Kephyrion"
"CR",1987,1987-05-05 00:00:00,1,0,"Chrysophyta","Kephyrion spirale",7.0,1.0,51.9,51.9,979,0.001,0.42,"Kephyrion"
